epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,51.8542,1.00285,2.61507,4.83326,1.37237,0,0.00971,0.25706,0.0123,0.00957,0.00959,0.24655,0.01235,0.00887,0.93605,2.2403,4.55781,1.40025,0,3.05079e-05,3.05079e-05,3.05079e-05
2,102.777,0.84596,1.97663,3.76503,1.25106,0,0.6169,0.07672,0.05036,0.03949,0.62674,0.07464,0.05033,0.03565,0.91053,2.0391,3.75094,1.35628,0,6.1102e-05,6.1102e-05,6.1102e-05
3,154.809,0.79955,1.76816,3.07652,1.20174,0,0.57937,0.11265,0.08568,0.06664,0.58194,0.11639,0.08626,0.06195,0.87739,1.93636,3.24388,1.31093,0,9.12868e-05,9.12868e-05,9.12868e-05
4,204.931,0.78269,1.67367,2.72181,1.17749,0,0.62245,0.13716,0.11531,0.08855,0.62294,0.1374,0.11544,0.08601,0.88744,1.87724,3.01049,1.31003,0,9.11586e-05,9.11586e-05,9.11586e-05
5,254.95,0.75422,1.60686,2.47848,1.16196,0,0.51036,0.18011,0.13169,0.10306,0.51159,0.18045,0.13206,0.09866,0.86457,1.83193,2.81519,1.28728,0,9.05448e-05,9.05448e-05,9.05448e-05
6,304.757,0.72075,1.50326,2.30268,1.12494,0,0.55307,0.16807,0.14764,0.11601,0.55242,0.16914,0.14812,0.10977,0.86222,1.81203,2.77846,1.27678,0,8.9931e-05,8.9931e-05,8.9931e-05
7,353.84,0.70645,1.44783,2.15585,1.11418,0,0.5669,0.18677,0.16878,0.13163,0.56791,0.18762,0.16879,0.1253,0.85088,1.79816,2.66684,1.27307,0,8.93172e-05,8.93172e-05,8.93172e-05
8,403.073,0.69543,1.42906,2.06714,1.10801,0,0.51142,0.2055,0.17796,0.13949,0.48934,0.21403,0.17958,0.1344,0.83916,1.75111,2.59402,1.27044,0,8.87034e-05,8.87034e-05,8.87034e-05
9,452.212,0.69655,1.39161,1.97756,1.10198,0,0.46182,0.22076,0.18048,0.14252,0.46248,0.2201,0.18081,0.13622,0.83727,1.77475,2.58562,1.26914,0,8.80896e-05,8.80896e-05,8.80896e-05
10,501.316,0.66762,1.33077,1.87104,1.0814,0,0.42953,0.22908,0.19035,0.14766,0.43235,0.22947,0.1919,0.14168,0.83534,1.75122,2.51119,1.25679,0,8.74758e-05,8.74758e-05,8.74758e-05
11,550.573,0.67498,1.35401,1.81937,1.08944,0,0.43311,0.22046,0.19011,0.15297,0.43661,0.21774,0.19155,0.14473,0.81092,1.73047,2.46645,1.23771,0,8.6862e-05,8.6862e-05,8.6862e-05
12,599.469,0.66353,1.35091,1.79117,1.08319,0,0.45266,0.22562,0.19865,0.15793,0.45233,0.22638,0.20046,0.1507,0.82843,1.7985,2.48679,1.26776,0,8.62482e-05,8.62482e-05,8.62482e-05
13,648.427,0.64953,1.28975,1.68744,1.06318,0,0.48916,0.24179,0.21267,0.17195,0.49032,0.24606,0.21575,0.16339,0.81334,1.72683,2.40241,1.24356,0,8.56344e-05,8.56344e-05,8.56344e-05
14,697.557,0.6403,1.27555,1.62245,1.05988,0,0.41925,0.24518,0.2148,0.17437,0.41975,0.24745,0.21594,0.16411,0.82327,1.71888,2.40595,1.24276,0,8.50206e-05,8.50206e-05,8.50206e-05
15,746.507,0.61922,1.22268,1.55652,1.04801,0,0.44776,0.24722,0.22454,0.17921,0.45231,0.2472,0.22593,0.16921,0.80964,1.76562,2.3713,1.24461,0,8.44068e-05,8.44068e-05,8.44068e-05
16,795.154,0.62207,1.21659,1.49474,1.04865,0,0.46511,0.21713,0.21169,0.16606,0.46633,0.21844,0.21088,0.16011,0.83399,1.76433,2.44652,1.25867,0,8.3793e-05,8.3793e-05,8.3793e-05
17,843.963,0.61559,1.21167,1.46425,1.0466,0,0.37107,0.25075,0.21338,0.16811,0.36395,0.24936,0.21467,0.16106,0.82518,1.75497,2.40845,1.24823,0,8.31792e-05,8.31792e-05,8.31792e-05
18,892.819,0.60209,1.17282,1.4089,1.03108,0,0.44746,0.22905,0.22015,0.17736,0.49346,0.21859,0.22201,0.16913,0.81449,1.77495,2.36,1.24792,0,8.25654e-05,8.25654e-05,8.25654e-05
19,941.62,0.5998,1.18513,1.37654,1.02848,0,0.42812,0.2505,0.21698,0.17513,0.43014,0.25314,0.22107,0.16811,0.82709,1.78565,2.38131,1.25492,0,8.19516e-05,8.19516e-05,8.19516e-05
20,990.319,0.59506,1.1653,1.34059,1.02606,0,0.42945,0.24312,0.23061,0.18185,0.37842,0.26938,0.23194,0.17413,0.81475,1.75363,2.29978,1.24087,0,8.13378e-05,8.13378e-05,8.13378e-05
21,1038.93,0.59591,1.15695,1.29292,1.03627,0,0.41726,0.24195,0.22326,0.17735,0.41411,0.24105,0.22148,0.17098,0.83752,1.75518,2.40133,1.27963,0,8.0724e-05,8.0724e-05,8.0724e-05
22,1087.53,0.59643,1.15611,1.28281,1.02899,0,0.42271,0.2417,0.22688,0.17711,0.42596,0.24918,0.23049,0.17238,0.85344,1.8525,2.43094,1.28537,0,8.01102e-05,8.01102e-05,8.01102e-05
23,1136.3,0.58236,1.13391,1.21878,1.01105,0,0.40714,0.24701,0.23107,0.18578,0.41698,0.25316,0.23685,0.1779,0.80755,1.71964,2.31055,1.23393,0,7.94964e-05,7.94964e-05,7.94964e-05
24,1184.93,0.59367,1.13393,1.2297,1.02205,0,0.52004,0.22391,0.23288,0.18503,0.54256,0.21837,0.23734,0.177,0.82531,1.77298,2.33648,1.25654,0,7.88826e-05,7.88826e-05,7.88826e-05
25,1233.57,0.57577,1.10631,1.18052,1.01107,0,0.39857,0.23923,0.24605,0.19738,0.37152,0.26345,0.2543,0.18812,0.82686,1.81714,2.33232,1.25775,0,7.82688e-05,7.82688e-05,7.82688e-05
26,1282.25,0.57209,1.09023,1.14972,1.00749,0,0.44524,0.24485,0.22703,0.18173,0.4384,0.25212,0.23241,0.17357,0.81916,1.77697,2.36323,1.25967,0,7.7655e-05,7.7655e-05,7.7655e-05
27,1330.95,0.57342,1.11486,1.13691,1.00152,0,0.38325,0.27824,0.24434,0.19034,0.38258,0.27961,0.24691,0.18143,0.80901,1.77486,2.31446,1.24153,0,7.70412e-05,7.70412e-05,7.70412e-05
28,1379.39,0.55609,1.05687,1.08742,0.99853,0,0.38838,0.25747,0.23794,0.18911,0.40272,0.25576,0.23925,0.18137,0.82298,1.79592,2.32826,1.24783,0,7.64274e-05,7.64274e-05,7.64274e-05
29,1427.96,0.56973,1.0854,1.07467,1.00679,0,0.34727,0.28425,0.24333,0.19318,0.34894,0.28435,0.2437,0.18222,0.82885,1.77738,2.30322,1.26475,0,7.58136e-05,7.58136e-05,7.58136e-05
30,1476.39,0.55084,1.06391,1.05701,0.99572,0,0.37157,0.26665,0.23997,0.19179,0.3776,0.27459,0.24629,0.18309,0.83364,1.84951,2.35203,1.27487,0,7.51998e-05,7.51998e-05,7.51998e-05
31,1524.94,0.5429,1.02523,1.02642,0.99219,0,0.39956,0.25922,0.23682,0.18627,0.39828,0.25977,0.23757,0.17913,0.84592,1.81838,2.30834,1.26813,0,7.4586e-05,7.4586e-05,7.4586e-05
32,1573.46,0.54551,1.0288,0.98549,0.98891,0,0.42144,0.26463,0.2355,0.18681,0.42339,0.26587,0.23849,0.17899,0.82457,1.78278,2.36733,1.2541,0,7.39722e-05,7.39722e-05,7.39722e-05
33,1621.96,0.5411,1.03725,0.97944,0.99065,0,0.38954,0.25931,0.23763,0.18744,0.41788,0.24488,0.24018,0.18011,0.82362,1.80064,2.35224,1.25926,0,7.33584e-05,7.33584e-05,7.33584e-05
34,1670.55,0.54366,1.03534,0.98109,0.9885,0,0.37612,0.27075,0.23548,0.18454,0.37279,0.27276,0.23714,0.17763,0.82254,1.84599,2.35647,1.25583,0,7.27446e-05,7.27446e-05,7.27446e-05
35,1719.18,0.54104,1.0228,0.96761,0.9897,0,0.42528,0.25377,0.23473,0.18396,0.428,0.25566,0.23808,0.17708,0.81949,1.81729,2.33668,1.25237,0,7.21308e-05,7.21308e-05,7.21308e-05
36,1767.63,0.54028,1.03459,0.94875,0.98871,0,0.41765,0.26281,0.23363,0.18723,0.41554,0.26775,0.2347,0.17985,0.81419,1.77601,2.41078,1.24452,0,7.1517e-05,7.1517e-05,7.1517e-05
37,1815.97,0.53399,1.0106,0.92398,0.98354,0,0.40684,0.26412,0.2503,0.19791,0.40682,0.26087,0.24818,0.18626,0.82921,1.8526,2.30198,1.26255,0,7.09032e-05,7.09032e-05,7.09032e-05
38,1864.43,0.528,1.00132,0.89705,0.97759,0,0.38483,0.26463,0.2371,0.18889,0.38571,0.26631,0.23926,0.17922,0.82884,1.83213,2.37178,1.26657,0,7.02894e-05,7.02894e-05,7.02894e-05
39,1912.96,0.51914,0.97402,0.89019,0.97479,0,0.36482,0.28072,0.24175,0.19238,0.37251,0.29281,0.25071,0.18406,0.83072,1.85938,2.39648,1.26882,0,6.96756e-05,6.96756e-05,6.96756e-05
40,1961.37,0.52162,0.98466,0.86692,0.97413,0,0.42037,0.26149,0.24946,0.19844,0.42025,0.26105,0.25076,0.19095,0.81716,1.79244,2.37503,1.24072,0,6.90618e-05,6.90618e-05,6.90618e-05
41,2010.43,0.52066,0.98374,0.87895,0.97567,0,0.37794,0.25845,0.24271,0.1936,0.40878,0.246,0.2483,0.18669,0.82304,1.8578,2.41364,1.25172,0,6.8448e-05,6.8448e-05,6.8448e-05
42,2058.84,0.51227,0.96784,0.84448,0.96848,0,0.50816,0.22947,0.23324,0.18687,0.52482,0.23053,0.23552,0.17785,0.836,1.91467,2.45981,1.28267,0,6.78342e-05,6.78342e-05,6.78342e-05
43,2107.35,0.51537,0.9852,0.84524,0.96846,0,0.35531,0.2836,0.24962,0.19875,0.35843,0.28561,0.2537,0.19207,0.81472,1.80811,2.33192,1.25318,0,6.72204e-05,6.72204e-05,6.72204e-05
44,2155.73,0.52,0.98427,0.84364,0.9768,0,0.46481,0.26144,0.24933,0.19915,0.46597,0.25999,0.24922,0.19218,0.81787,1.83165,2.33754,1.24934,0,6.66066e-05,6.66066e-05,6.66066e-05
45,2204.1,0.50921,0.9668,0.81385,0.96856,0,0.33632,0.27333,0.23989,0.19171,0.35779,0.25999,0.24636,0.18371,0.82196,1.84759,2.3874,1.27074,0,6.59928e-05,6.59928e-05,6.59928e-05
46,2252.52,0.50713,0.96828,0.8174,0.96741,0,0.43369,0.2716,0.25292,0.20104,0.43522,0.27441,0.25542,0.19351,0.83055,1.83121,2.35393,1.26845,0,6.5379e-05,6.5379e-05,6.5379e-05
47,2300.98,0.50313,0.95931,0.80554,0.96615,0,0.38507,0.27041,0.24546,0.19629,0.38788,0.27305,0.24946,0.18913,0.83027,1.89366,2.44963,1.27598,0,6.47652e-05,6.47652e-05,6.47652e-05
48,2349.37,0.50016,0.95023,0.79305,0.95679,0,0.43347,0.26009,0.24641,0.19583,0.43541,0.2604,0.24824,0.18683,0.83709,1.93575,2.46133,1.29269,0,6.41514e-05,6.41514e-05,6.41514e-05
49,2397.85,0.49976,0.94378,0.77264,0.95819,0,0.45552,0.24802,0.23299,0.18385,0.4556,0.24795,0.23546,0.17875,0.83312,1.79523,2.37696,1.26997,0,6.35376e-05,6.35376e-05,6.35376e-05
50,2446.11,0.5026,0.9572,0.7818,0.96249,0,0.39378,0.26591,0.24041,0.19141,0.39432,0.26732,0.24283,0.1839,0.83698,1.92475,2.4562,1.27924,0,6.29238e-05,6.29238e-05,6.29238e-05
51,2494.54,0.49956,0.94112,0.7696,0.9586,0,0.38621,0.25539,0.24381,0.19346,0.3861,0.25778,0.24517,0.18579,0.82227,1.8646,2.3562,1.2593,0,6.231e-05,6.231e-05,6.231e-05
52,2543.12,0.49692,0.92849,0.7448,0.96164,0,0.49743,0.21897,0.24945,0.19719,0.49704,0.21955,0.2453,0.1865,0.83326,1.88025,2.41103,1.2727,0,6.16962e-05,6.16962e-05,6.16962e-05
53,2591.65,0.49368,0.94216,0.75624,0.95727,0,0.45567,0.24014,0.24706,0.19546,0.44279,0.24081,0.24329,0.1861,0.83939,1.84893,2.37768,1.27194,0,6.10824e-05,6.10824e-05,6.10824e-05
54,2640.3,0.49669,0.9419,0.74256,0.95455,0,0.38514,0.27266,0.24295,0.19518,0.38621,0.27453,0.24356,0.18727,0.8246,1.86244,2.41542,1.26485,0,6.04686e-05,6.04686e-05,6.04686e-05
55,2688.74,0.49138,0.90738,0.72083,0.95455,0,0.46449,0.24032,0.24326,0.19322,0.47016,0.24304,0.24309,0.18473,0.8308,1.86425,2.41266,1.26951,0,5.98548e-05,5.98548e-05,5.98548e-05
56,2737.04,0.48728,0.90189,0.73217,0.95834,0,0.35973,0.28443,0.25334,0.20219,0.35946,0.285,0.25654,0.19543,0.84235,1.92522,2.4222,1.28437,0,5.9241e-05,5.9241e-05,5.9241e-05
57,2785.62,0.48245,0.90673,0.71232,0.94783,0,0.3645,0.27296,0.24719,0.1997,0.36432,0.27484,0.25056,0.19044,0.82308,1.88412,2.34036,1.27173,0,5.86272e-05,5.86272e-05,5.86272e-05
58,2834.03,0.48306,0.8884,0.6898,0.94984,0,0.39572,0.25971,0.2468,0.19915,0.39807,0.26217,0.24935,0.19102,0.82616,1.87502,2.37817,1.27608,0,5.80134e-05,5.80134e-05,5.80134e-05
59,2882.46,0.49135,0.91861,0.71664,0.95694,0,0.41063,0.26362,0.24418,0.19498,0.41048,0.26512,0.24518,0.18619,0.82495,1.8461,2.37025,1.27358,0,5.73996e-05,5.73996e-05,5.73996e-05
60,2930.78,0.48515,0.90775,0.69477,0.95179,0,0.4491,0.24412,0.23967,0.19201,0.44958,0.25055,0.24435,0.18469,0.83547,1.89909,2.42823,1.28236,0,5.67858e-05,5.67858e-05,5.67858e-05
61,2979.03,0.48299,0.91377,0.70313,0.95393,0,0.43274,0.25912,0.24846,0.2017,0.43298,0.25956,0.24614,0.19073,0.82479,1.90208,2.37866,1.26373,0,5.6172e-05,5.6172e-05,5.6172e-05
62,3027.38,0.48642,0.90139,0.69816,0.94994,0,0.40271,0.2681,0.2507,0.20093,0.41097,0.26753,0.25108,0.19111,0.82861,1.88501,2.41582,1.27955,0,5.55582e-05,5.55582e-05,5.55582e-05
63,3075.82,0.47338,0.88732,0.68058,0.93943,0,0.41142,0.2727,0.25204,0.20012,0.41426,0.27646,0.25158,0.19278,0.83091,1.89829,2.32796,1.27924,0,5.49444e-05,5.49444e-05,5.49444e-05
64,3124.17,0.47877,0.91257,0.67586,0.94996,0,0.47871,0.24832,0.2466,0.19633,0.48819,0.24726,0.24469,0.18648,0.83446,1.87527,2.37934,1.27401,0,5.43306e-05,5.43306e-05,5.43306e-05
65,3172.46,0.47265,0.89173,0.67005,0.94796,0,0.38843,0.26387,0.25335,0.20378,0.38883,0.2661,0.25622,0.19468,0.8212,1.86235,2.41674,1.26307,0,5.37168e-05,5.37168e-05,5.37168e-05
66,3220.96,0.47325,0.87884,0.66165,0.94435,0,0.37633,0.28033,0.25257,0.20355,0.37981,0.28447,0.25468,0.19476,0.8213,1.91158,2.38886,1.27021,0,5.3103e-05,5.3103e-05,5.3103e-05
67,3269.47,0.47757,0.88845,0.65793,0.94842,0,0.42238,0.27088,0.24683,0.19821,0.42562,0.27432,0.24664,0.19071,0.82042,1.88469,2.37737,1.26716,0,5.24892e-05,5.24892e-05,5.24892e-05
68,3317.9,0.4686,0.87014,0.6515,0.94268,0,0.4117,0.26532,0.24388,0.19746,0.41429,0.26697,0.24455,0.18963,0.8321,1.98885,2.39652,1.27909,0,5.18754e-05,5.18754e-05,5.18754e-05
69,3366.47,0.46682,0.88013,0.64385,0.93686,0,0.43347,0.26149,0.24908,0.19753,0.4374,0.26105,0.25225,0.19051,0.82432,1.89262,2.37223,1.27811,0,5.12616e-05,5.12616e-05,5.12616e-05
70,3415.14,0.46879,0.85562,0.61464,0.93885,0,0.52495,0.24009,0.2571,0.20507,0.53231,0.24608,0.26191,0.19747,0.83192,1.86195,2.40561,1.27354,0,5.06478e-05,5.06478e-05,5.06478e-05
71,3463.79,0.46491,0.86547,0.64195,0.9407,0,0.45882,0.26081,0.25238,0.20243,0.46141,0.2649,0.25825,0.19639,0.82621,1.8439,2.37462,1.26378,0,5.0034e-05,5.0034e-05,5.0034e-05
72,3512.15,0.47102,0.88605,0.63079,0.9453,0,0.33449,0.27876,0.2542,0.20651,0.47202,0.24295,0.25808,0.1973,0.83937,1.92315,2.44194,1.28813,0,4.94202e-05,4.94202e-05,4.94202e-05
73,3560.75,0.4596,0.86165,0.62285,0.94098,0,0.41987,0.26359,0.25224,0.20622,0.42284,0.26449,0.25507,0.1956,0.81751,1.90448,2.40697,1.2556,0,4.88064e-05,4.88064e-05,4.88064e-05
74,3609.12,0.46197,0.86295,0.61543,0.93479,0,0.48296,0.23341,0.24621,0.19926,0.48859,0.23706,0.25155,0.19144,0.82797,1.88576,2.41107,1.26593,0,4.81926e-05,4.81926e-05,4.81926e-05
